County,Relationship
Argentina,Neutral
Australia,Ally
Belarus,Competitor
Belgium,Ally
Bolivia,Competitor
Brazil,Ally
Canada,Ally
Chile,Ally
China,Competitor
"Congo, D.R.",Competitor
Cuba,Neutral
Finland,Ally
France,Ally
Gabon,Competitor
Germany,Ally
Ghana,Neutral
India,Ally
Indonesia,Neutral
Japan,Ally
Kazakhstan,Neutral
"Korea, South",Ally
Madagascar,Competitor
Malaysia,Neutral
Mexico,Ally
Mongolia,Competitor
Morocco,Neutral
Mozambique,Neutral
Mynamar,Neutral
Nambia,Competitor
New Caledonia,Ally
Nigeria,Competitor
Peru,Neutral
Philippines,Ally
Russia,Competitor
Rwanda,Neutral
Senegal,Competitor
South Africa,Ally
Sri Lanka,Ally
Sweden,Ally
Tajikistan,Neutral
Thailand,Neutral
Turkey,Neutral
Uganda,Competitor
Ukraine,Ally
United Arab Emirates,Neutral
United States,Ally
Vietnam,Neutral
Zimbabwe,Competitor
Israel,Ally
