Critical Mineral,Uses,Rank 2021,Country,Production 2021 Metric Ton,Production 2021 KiloTon,Share in %
Lithium, used for rechargeable batteries,4,Argentina,12870,12.87,5.534769707
Gadolinium, used in medical imaging permanent magnets and steelmaking,4,Australia,176800,6.951570984,62.22332315
Lanthanum, used to produce catalysts ceramics glass polishing compounds metallurgy and batteries,5,Australia,8,0.008,3.21
Magnesium, used as an alloy and for reducing metals,5,Australia,2.6,0.0026,0.00072023
Neodymium, used in permanent magnets rubber catalysts and in medical and industrial lasers,3,Australia,18000,18,6.20475698
Samarium, used in permanent magnets as an absorber in nuclear reactors and in cancer treatments,5,Australia,40,0.04,4.444444444
Thulium, used in various metal alloys and in lasers,5,Australia,10,0.01,10
Yttrium, used for ceramic catalysts lasers metallurgy and phosphors,2,Australia,4000,4,19.38923897
Antimony, used in lead-acid batteries and flame retardants,5,Australia,3380,3.38,3.595859442
Cesium, used in research and development,1,Australia,80,0.08,35.2
Cobalt, used in rechargeable batteries and superalloys,3,Australia,5228,5.228,3.88768256
Dysprosium, used in permanent magnets data storage devices and lasers,2,Australia,3,0.003,2.941176471
Lithium, used for rechargeable batteries,1,Australia,113600,113.6,48.85391132
Manganese, used in steelmaking and batteries,3,Australia,3278840,3278.84,15.45213363
Nickel, used to make stainless steel superalloys and rechargeable batteries,5,Australia,150876,150.876,5.364954977
Titanium, used as a white pigment or metal alloys,4,Australia,624100,624.1,7.348152795
Zinc, primarily used in metallurgy to produce galvanized steel,3,Australia,1315160,1315.16,10.17238824
Zirconium, used in the high-temperature ceramics and corrosion-resistant alloys.,1,Australia,569000,569,39.0778721
Terbium, used in permanent magnets fiber optics lasers and solid-state devices,3,Belarus,775,,17.16335573
Arsenic, used in semi-conductors,5,Belgium,1000,1,1.821659532
Ruthenium, used as catalysts as well as electrical contacts and chip resistors in computers,2,Belgium,14,0.014,18.91891892
Tin, used as protective coatings and alloys for steel,5,Bolivia,19628,19.628,7.24192257
Tungsten, primarily used to make wear-resistant metals,4,Bolivia,1563,1.563,1.765363633
Beryllium, used as an alloying agent in aerospace and defense industries,5,Brazil,1,0.001,0.374531835
Europium, used in phosphors and nuclear control rods,3,Brazil,49,0.049,18.01470588
Graphite , used for lubricants batteries and fuel cells,3,Brazil,78555,78.555,6.728883102
Holmium, used in permanent magnets nuclear control rods and lasers,5,Brazil,1,0.001,8.333333333
