Mineral,Uses,Rank_2021,Country,Production_2021_Metric Ton,Production_2021_KiloTon, Share_Percentage 
Lithium, used for rechargeable batteries,4,Argentina,12870 ,12.87 , 5.53 
Gadolinium, used in medical imaging permanent magnets and steelmaking,4,Australia,176800 ,6.95 , 62.22 
Lanthanum, used to produce catalysts ceramics glass polishing compounds metallurgy and batteries,5,Australia,8 ,0.01 , 3.21 
Magnesium, used as an alloy and for reducing metals,5,Australia,3 ,0.00 , 0.00 
Neodymium, used in permanent magnets rubber catalysts and in medical and industrial lasers,3,Australia,18000 ,18.00 , 6.20 
Samarium, used in permanent magnets as an absorber in nuclear reactors and in cancer treatments,5,Australia,40 ,0.04 , 4.44 
Thulium, used in various metal alloys and in lasers,5,Australia,10 ,0.01 , 10.00 
Yttrium, used for ceramic catalysts lasers metallurgy and phosphors,2,Australia,4000 ,4.00 , 19.39 
Antimony, used in lead acid batteries and flame retardants,5,Australia,3380 ,3.38 , 3.60 
Cesium, used in research and development,1,Australia,80 ,0.08 , 35.20 
Cobalt, used in rechargeable batteries and superalloys,3,Australia,5228 ,5.23 , 3.89 
Dysprosium, used in permanent magnets data storage devices and lasers,2,Australia,3 ,0.00 , 2.94 
Lithium, used for rechargeable batteries,1,Australia,113600 ,113.60 , 48.85 
Manganese, used in steelmaking and batteries,3,Australia,3278840 ,3278.84 , 15.45 
Nickel, used to make stainless steel superalloys and rechargeable batteries,5,Australia,150876 ,150.88 , 5.36 
Titanium, used as a white pigment or metal alloys,4,Australia,624100 ,624.10 , 7.35 
Zinc, primarily used in metallurgy to produce galvanized steel,3,Australia,1315160 ,1315.16 , 10.17 
Zirconium, used in the high temperature ceramics and corrosion resistant alloys.,1,Australia,569000 ,569.00 , 39.08 
Terbium, used in permanent magnets fiber optics lasers and solid state devices,3,Belarus,775 ,, 17.16 
Arsenic, used in semi conductors,5,Belgium,1000 ,1.00 , 1.82 
Ruthenium, used as catalysts as well as electrical contacts and chip resistors in computers,2,Belgium,14 ,0.01 , 18.92 
Tin, used as protective coatings and alloys for steel,5,Bolivia,19628 ,19.63 , 7.24 
Tungsten, primarily used to make wear resistant metals,4,Bolivia,1563 ,1.56 , 1.77 
Beryllium, used as an alloying agent in aerospace and defense industries,5,Brazil,1 ,0.00 , 0.37 
Europium, used in phosphors and nuclear control rods,3,Brazil,49 ,0.05 , 18.01 
Graphite , used for lubricants batteries and fuel cells,3,Brazil,78555 ,78.56 , 6.73 
Holmium, used in permanent magnets nuclear control rods and lasers,5,Brazil,1 ,0.00 , 8.33 
Lithium, used for rechargeable batteries,5,Brazil,5670 ,5.67 , 2.44 
Lutetium, used in scintillators for medical imaging electronics and some cancer therapies,3,Brazil,3 ,0.00 , 21.43 
Niobium, used mostly in steel and superalloys,1,Brazil,112755 ,112.76 , 92.50 
Praseodymium, used in permanent magnets batteries aerospace alloys ceramics and colorants,3,Brazil,300 ,0.30 , 10.60 
Samarium, used in permanent magnets as an absorber in nuclear reactors and in cancer treatments,3,Brazil,125 ,0.13 , 13.89 
Tantalum, used in electronic components mostly capacitors and in superalloys,2,Brazil,350 ,0.35 , 19.89 
Thulium, used in various metal alloys and in lasers,3,Brazil,10 ,0.01 , 10.00 
Vanadium, primarily used as alloying agent for iron and steel,4,Brazil,7212 ,7.21 , 7.21 
Ytterbium, used for catalysts scintillometers lasers and metallurgy,3,Brazil,15 ,0.02 , 14.29 
Yttrium, used for ceramic catalysts lasers metallurgy and phosphors,3,Brazil,3330 ,3.33 , 16.14 
Aluminum, used in almost all sectors of the economy,4,Canada,3136704 ,3136.70 , 4.64 
Cobalt, used in rechargeable batteries and superalloys,4,Canada,3834 ,3.83 , 2.85 
Dysprosium, used in permanent magnets data storage devices and lasers,3,Canada,2 ,0.00 , 1.96 
Indium, used in liquid crystal display screens,4,Canada,44 ,0.04 , 4.80 
Iridium, used as coating of anodes for electrochemical processes and as a chemical catalyst,5,Canada,0 ,0.00 , 1.50 
Niobium, used mostly in steel and superalloys,2,Canada,7650 ,7.65 , 6.28 
Palladium, used in catalytic converters and as a catalyst agent,3,Canada,15260 ,15.26 , 7.18 
Platinum, used in catalytic converters,4,Canada,5960 ,5.96 , 3.12 
Rhodium, used in catalytic converters electrical components and as a catalyst,4,Canada,5 ,0.01 , 10.87 
Rubidium, used for research and development in electronics,1,Canada,3 ,0.00 , 73.17 
Scandium, used for alloys ceramics and fuel cells,4,Canada,530 ,0.53 , 5.16 
Tellurium, used in solar cells thermoelectric devices and as alloying additive,5,Canada,25 ,0.03 , 3.41 
Terbium, used in permanent magnets fiber optics lasers and solid state devices,1,Canada,1309 ,, 29.00 
Yttrium, used for ceramic catalysts lasers metallurgy and phosphors,5,Canada,1000 ,1.00 , 4.85 
Cesium, used in research and development,2,Canada,30 ,0.03 , 23.20 
Lithium, used for rechargeable batteries,2,Chile,65060 ,65.06 , 27.98 
Rubidium, used for research and development in electronics,2,Chile,1 ,0.00 , 12.20 
Aluminum, used in almost all sectors of the economy,1,China,38503200 ,38503.20 , 56.90 
Antimony, used in lead acid batteries and flame retardants,1,China,41480 ,41.48 , 44.13 
Arsenic, used in semi conductors,1,China,24000 ,24.00 , 43.72 
Barite, used in hydrocarbon production.,2,China,2200000 ,2200.00 , 26.29 
Beryllium, used as an alloying agent in aerospace and defense industries,2,China,70 ,0.07 , 26.22 
Bismuth, used in medical and atomic research,1,China,11000 ,11.00 , 41.20 
Cerium, used in catalytic converters ceramics glass metallurgy and polishing compounds,3,China,30 ,0.03 , 15.10 
Cesium, used in research and development,4,China,10 ,0.01 , 12.20 
Dysprosium, used in permanent magnets data storage devices and lasers,1,China,95 ,0.10 , 93.14 
Erbium, used in fiber optics optical amplifiers lasers and glass colorants,1,China,280 ,0.28 , 54.69 
Europium, used in phosphors and nuclear control rods,1,China,135 ,0.14 , 49.63 
