Date,Channel,Sessions,Transactions,Conversion Rate,AOV,Revenue,CPA,Cost,Month,day,Quarters,Day,Week,Year,BiWeek,Holiday
1/3/2016,Channel A,799,149,0.186522262,45.76,6818,10,682,1,6,Q1,6,53,2016,bw26,na
1/3/2016,Channel B,89,2,0.022346369,61.99,124,32,40,1,6,Q1,6,53,2016,bw26,na
1/3/2016,Channel D,937,87,0.092809791,53.33,4640,18,835,1,6,Q1,6,53,2016,bw26,na
1/3/2016,Channel C,339,48,0.141442716,45.19,2169,12,260,1,6,Q1,6,53,2016,bw26,na
1/4/2016,Channel A,910,156,0.171413502,47.34,7385,10,739,1,0,Q1,0,1,2016,bw1,na
1/4/2016,Channel B,104,2,0.019138756,39.39,79,28,22,1,0,Q1,0,1,2016,bw1,na
1/4/2016,Channel D,1347,132,0.097969362,50.88,6716,15,1007,1,0,Q1,0,1,2016,bw1,na
1/4/2016,Channel C,910,131,0.14399153,45.98,6023,6,361,1,0,Q1,0,1,2016,bw1,na
1/5/2016,Channel C,437,80,0.183114035,44.68,3574,5,179,1,1,Q1,1,1,2016,bw1,na
1/5/2016,Channel A,1136,225,0.198053322,44.76,10071,6,604,1,1,Q1,1,1,2016,bw1,na
1/5/2016,Channel B,128,2,0.015625,50.99,102,24,24,1,1,Q1,1,1,2016,bw1,na
1/5/2016,Channel D,1354,188,0.138859369,50.96,9580,19,1820,1,1,Q1,1,1,2016,bw1,na
1/6/2016,Channel A,2417,581,0.240365515,44.69,25965,10,2596,1,2,Q1,2,1,2016,bw1,na
1/6/2016,Channel B,144,4,0.027692308,44.7,179,18,32,1,2,Q1,2,1,2016,bw1,na
1/6/2016,Channel C,1405,196,0.139534884,48.5,9506,5,475,1,2,Q1,2,1,2016,bw1,na
1/6/2016,Channel D,3312,409,0.123496159,52.01,21272,17,3616,1,2,Q1,2,1,2016,bw1,na
1/7/2016,Channel B,163,6,0.036697248,40.86,245,31,76,1,3,Q1,3,1,2016,bw1,na
1/7/2016,Channel D,3210,410,0.127707244,51.06,20935,19,3978,1,3,Q1,3,1,2016,bw1,na
1/7/2016,Channel C,634,119,0.187736563,48.64,5788,6,347,1,3,Q1,3,1,2016,bw1,na
1/7/2016,Channel A,2372,584,0.246256576,46.28,27028,4,1081,1,3,Q1,3,1,2016,bw1,na
1/8/2016,Channel A,2476,553,0.223299089,47.18,26091,3,783,1,4,Q1,4,1,2016,bw1,na
1/8/2016,Channel D,3288,430,0.13076474,50.44,21689,15,3253,1,4,Q1,4,1,2016,bw1,na
1/8/2016,Channel B,160,11,0.068965517,44.26,487,25,122,1,4,Q1,4,1,2016,bw1,na
1/8/2016,Channel C,2013,268,0.133110687,43.89,11763,9,1059,1,4,Q1,4,1,2016,bw1,na
1/9/2016,Channel B,143,3,0.020979021,42.93,129,33,43,1,5,Q1,5,1,2016,bw1,na
1/9/2016,Channel D,3287,422,0.12839218,52.08,21978,17,3736,1,5,Q1,5,1,2016,bw1,na
1/9/2016,Channel A,2273,507,0.223067174,46.26,23454,4,938,1,5,Q1,5,1,2016,bw1,na
1/9/2016,Channel C,1942,278,0.143175074,44.34,12327,11,1356,1,5,Q1,5,1,2016,bw1,na
1/10/2016,Channel C,683,141,0.206483439,49.07,6919,7,484,1,6,Q1,6,1,2016,bw1,na
1/10/2016,Channel D,3056,388,0.126961707,51.58,20013,12,2402,1,6,Q1,6,1,2016,bw1,na
1/10/2016,Channel A,1922,460,0.23938031,45.51,20935,8,1675,1,6,Q1,6,1,2016,bw1,na
1/10/2016,Channel B,132,10,0.075757576,34.56,346,28,97,1,6,Q1,6,1,2016,bw1,na
1/11/2016,Channel C,1247,150,0.12024587,45.6,6840,8,547,1,0,Q1,0,2,2016,bw1,na
1/11/2016,Channel D,1604,165,0.102848576,52.7,8696,13,1130,1,0,Q1,0,2,2016,bw1,na
1/11/2016,Channel B,122,10,0.081712062,37.26,373,23,86,1,0,Q1,0,2,2016,bw1,na
