Date,Channel,Sessions,Transactions,Conversion Rate,AOV,Revenue,CPA,Cost,Month,day,Quarters,Day,Week,Year,BiWeek,Holiday
1/31/2016,Channel B,256,33,0.129032258,62.31,2056,25,514,1,6,Q1,6,4,2016,bw2,14 day prior Valentine
1/31/2016,Channel D,5346,712,0.133171695,68.94,49085,11,5399,1,6,Q1,6,4,2016,bw2,14 day prior Valentine
1/31/2016,Channel A,3281,715,0.217913069,65.49,46825,9,4214,1,6,Q1,6,4,2016,bw2,14 day prior Valentine
1/31/2016,Channel C,3267,461,0.141114214,63.54,29292,9,2636,1,6,Q1,6,4,2016,bw2,14 day prior Valentine
2/1/2016,Channel A,1863,371,0.19917547,62.1,23039,9,2074,2,0,Q1,0,5,2016,bw3,13 day prior Valentine
2/1/2016,Channel B,201,21,0.104513064,48.51,1019,22,224,2,0,Q1,0,5,2016,bw3,13 day prior Valentine
2/1/2016,Channel C,1726,234,0.13554133,60.21,14089,8,1127,2,0,Q1,0,5,2016,bw3,13 day prior Valentine
2/1/2016,Channel D,2717,289,0.106386733,67.32,19455,15,2918,2,0,Q1,0,5,2016,bw3,13 day prior Valentine
2/2/2016,Channel B,267,29,0.108499096,59.28,1719,20,344,2,1,Q1,1,5,2016,bw3,12 day prior Valentine
2/2/2016,Channel D,3050,369,0.120988043,65.39,24129,10,2413,2,1,Q1,1,5,2016,bw3,12 day prior Valentine
2/2/2016,Channel A,2206,480,0.217552265,62.11,29813,9,2683,2,1,Q1,1,5,2016,bw3,12 day prior Valentine
2/2/2016,Channel C,1709,273,0.159696885,63.61,17366,6,1042,2,1,Q1,1,5,2016,bw3,12 day prior Valentine
2/3/2016,Channel B,618,55,0.088940449,63.04,3467,34,1179,2,2,Q1,2,5,2016,bw3,11 day prior Valentine
2/3/2016,Channel A,5251,1063,0.202450622,64.39,68447,6,4107,2,2,Q1,2,5,2016,bw3,11 day prior Valentine
2/3/2016,Channel C,13332,936,0.070204493,64.96,60803,8,4864,2,2,Q1,2,5,2016,bw3,11 day prior Valentine
2/3/2016,Channel D,7611,957,0.125740951,68.64,65688,12,7883,2,2,Q1,2,5,2016,bw3,11 day prior Valentine
2/4/2016,Channel C,7143,893,0.125016803,63.06,56313,9,5068,2,3,Q1,3,5,2016,bw3,10 day prior Valentine
2/4/2016,Channel D,7642,983,0.128627057,67.36,66215,14,9270,2,3,Q1,3,5,2016,bw3,10 day prior Valentine
2/4/2016,Channel B,1144,123,0.107531381,61.58,7574,24,1818,2,3,Q1,3,5,2016,bw3,10 day prior Valentine
2/4/2016,Channel A,5127,1044,0.203630919,66.49,69416,10,6942,2,3,Q1,3,5,2016,bw3,10 day prior Valentine
2/5/2016,Channel B,1196,110,0.091967871,63.21,6953,21,1460,2,4,Q1,4,5,2016,bw3,9 day prior Valentine
2/5/2016,Channel A,5233,1062,0.202954399,65.03,69062,10,6906,2,4,Q1,4,5,2016,bw3,9 day prior Valentine
2/5/2016,Channel D,8361,1119,0.133834759,67.17,75163,12,9020,2,4,Q1,4,5,2016,bw3,9 day prior Valentine
2/5/2016,Channel C,6656,1053,0.158205942,64.57,67992,6,4080,2,4,Q1,4,5,2016,bw3,9 day prior Valentine
2/6/2016,Channel B,14343,1313,0.091544819,60.41,79318,15,11898,2,5,Q1,5,5,2016,bw3,8 day prior Valentine
2/6/2016,Channel A,5584,1101,0.197180677,64.41,70915,3,2127,2,5,Q1,5,5,2016,bw3,8 day prior Valentine
2/6/2016,Channel D,8627,1113,0.129012517,68.35,76074,19,14454,2,5,Q1,5,5,2016,bw3,8 day prior Valentine
2/6/2016,Channel C,7303,1030,0.141044187,65.4,67362,5,3368,2,5,Q1,5,5,2016,bw3,8 day prior Valentine
2/7/2016,Channel B,3878,535,0.137960901,62.03,33186,19,6305,2,6,Q1,6,5,2016,bw3,7 day prior Valentine
