YEAR,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,UNIQUE_CARRIER_NAME,SERIAL_NUMBER,TAIL_NUMBER,AIRCRAFT_STATUS,OPERATING_STATUS,NUMBER_OF_SEATS,MANUFACTURER,AIRCRAFT_TYPE,MODEL,CAPACITY_IN_POUNDS,ACQUISITION_DATE,AIRLINE_ID,UNIQUE_CARRIER
2022,F9,Frontier Airlines Inc.,2010,Frontier Airlines Inc.,4253,N205FR,b,N,180,Airbus,694,320-214,162000,3/30/2010 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2010,Frontier Airlines Inc.,4272,N206FR,b,N,180,Airbus,694,320-214,162000,4/26/2010 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2010,Frontier Airlines Inc.,4307,N207FR,b,Y,180,Airbus,694,320-214,162000,5/11/2010 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2011,Frontier Airlines Inc.,4668,N210FR,b,Y,180,Airbus,694,320-214,162000,4/21/2011 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2011,Frontier Airlines Inc.,4688,N211FR,b,Y,180,Airbus,694,320-214,162000,5/10/2011 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2011,Frontier Airlines Inc.,4705,N213FR,b,Y,180,Airbus,694,320-214,162000,5/19/2011 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2011,Frontier Airlines Inc.,4745,N216FR,b,Y,180,Airbus,694,320-214,162000,6/27/2011 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2014,Frontier Airlines Inc.,6184,N227FR,b,N,180,Airbus,694,320-214,162000,7/17/2014 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2015,Frontier Airlines Inc.,5526,N228FR,b,Y,180,Airbus,694,320-214,162000,2/2/2015 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2015,Frontier Airlines Inc.,5581,N229FR,b,Y,180,Airbus,694,320-214,162000,4/22/2015 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2015,Frontier Airlines Inc.,6773,N230FR,b,Y,180,Airbus,694,320-214,162000,10/9/2015 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2015,Frontier Airlines Inc.,6838,N232FR,b,Y,180,Airbus,694,320-214,162000,11/19/2015 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7095,N233FR,b,Y,180,Airbus,694,320-214,162000,5/11/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7272,N235FR,b,Y,180,Airbus,694,320-214,162000,9/8/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7389,N236FR,b,Y,180,Airbus,694,320-214,162000,11/17/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7458,N238FR,b,Y,180,Airbus,694,320-214,162000,12/20/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7141,N301FR,b,Y,186,Airbus,722,320-251N,162000,10/19/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7249,N303FR,b,Y,186,Airbus,722,320-251N,162000,11/14/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7367,N304FR,b,Y,186,Airbus,722,320-251N,162000,12/12/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2016,Frontier Airlines Inc.,7387,N305FR,b,Y,186,Airbus,722,320-251N,162000,12/29/2016 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7472,N307FR,b,Y,186,Airbus,722,320-251N,162000,2/23/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7538,N308FR,b,Y,186,Airbus,722,320-251N,162000,4/4/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7555,N309FR,b,Y,186,Airbus,722,320-251N,162000,4/11/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7600,N310FR,b,Y,186,Airbus,722,320-251N,162000,5/18/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7642,N311FR,b,Y,186,Airbus,722,320-251N,162000,6/15/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7727,N313FR,b,Y,186,Airbus,722,320-251N,162000,9/5/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7768,N312FR,b,Y,186,Airbus,722,320-251N,162000,11/7/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7824,N316FR,b,Y,186,Airbus,722,320-251N,162000,10/12/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7835,N317FR,b,Y,186,Airbus,722,320-251N,162000,11/8/2017 0:00,20436,F9
2022,F9,Frontier Airlines Inc.,2017,Frontier Airlines Inc.,7925,N323FR,b,Y,186,Airbus,722,320-251N,162000,12/4/2017 0:00,20436,F9
