Player,From,To,G,Att,Inc,Cmp_Per,Yds,TD,Int,TD_Per,Int_per,Rate,YA,AYA,YC,YG,Pos,Team
Case Keenum,2007,2011,57,2229,683,69.4,19217,155,46,7,2.1,160.6,8.6,9.08,12.4,337.1,QB,Houston
Will Rogers,2020,2024,51,2114,641,69.7,14337,107,32,5.1,1.5,140.3,6.8,7.11,9.7,281.1,QB,"Mississippi State,Washington"
Luke Falk,2014,2017,42,2055,651,68.3,14486,119,39,5.8,1.9,142.8,7,7.35,10.3,344.9,QB,Washington State
Graham Harrell,2005,2008,45,2011,608,69.8,15793,134,34,6.7,1.7,154.3,7.9,8.43,11.3,351,QB,Texas Tech
Landry Jones,2009,2012,53,2183,795,63.6,16646,123,52,5.6,2.4,141.5,7.6,7.68,12,314.1,QB,Oklahoma
Timmy Chang,2000,2004,53,2436,1048,57,17072,117,80,4.8,3.3,125.1,7,6.49,12.3,322.1,QB,Hawaii
Bo Nix,2019,2023,61,1936,650,66.4,15351,113,26,5.8,1.3,149.6,7.9,8.49,11.9,251.7,QB,"Auburn,Oregon"
Dillon Gabriel,2019,2024,58,1916,674,64.8,17236,143,31,7.5,1.6,161.8,9,9.76,13.9,297.2,QB,"Oklahoma,Oregon,UCF"
Kliff Kingsbury,1999,2002,43,1883,652,65.4,12429,95,40,5,2.1,133.2,6.6,6.65,10.1,289,QB,Texas Tech
Sean Mannion,2011,2014,47,1838,651,64.6,13600,83,54,4.5,2.9,135.8,7.4,6.98,11.5,289.4,QB,Oregon State
Corey Robinson,2010,2013,48,1823,644,64.7,13477,81,48,4.4,2.6,136.2,7.4,7.1,11.4,280.8,QB,Troy
Dan Lefevour,2006,2009,53,1763,592,66.4,12905,102,36,5.8,2,142.9,7.3,7.56,11,243.5,QB,Central Michigan
Kellen Moore,2008,2011,53,1658,501,69.8,14667,142,28,8.6,1.7,169,8.8,9.8,12.7,276.7,QB,Boise State
Colt McCoy,2006,2009,53,1645,488,70.3,13253,112,45,6.8,2.7,155,8.1,8.19,11.5,250.1,QB,Texas
Rakeem Cato,2011,2014,53,1838,685,62.7,14079,131,44,7.1,2.4,145.8,7.7,8.01,12.2,265.6,QB,Marshall
Sam Hartman,2018,2023,60,1898,763,59.8,15656,134,49,7.1,2.6,147.2,8.2,8.5,13.8,260.9,QB,"Notre Dame,Wake Forest"
Holton Ahlers,2018,2022,55,1857,730,60.7,13927,97,37,5.2,2,136.9,7.5,7.65,12.4,253.2,QB,East Carolina
Colt Brennan,2005,2007,38,1584,469,70.4,14193,131,42,8.3,2.7,167.6,9,9.42,12.7,373.5,QB,Hawaii
Chase Daniel,2005,2008,51,1609,515,68,12515,101,41,6.3,2.5,148.9,7.8,7.89,11.4,245.4,QB,Missouri
Derek Carr,2009,2013,44,1630,543,66.7,12843,113,24,6.9,1.5,152.8,7.9,8.6,11.8,291.9,QB,Fresno State
Philip Rivers,2000,2003,49,1710,623,63.6,13484,95,34,5.6,2,144.2,7.9,8.1,12.4,275.2,QB,North Carolina State
Chase Holbrook,2006,2008,36,1566,480,69.3,11846,85,41,5.4,2.6,145.6,7.6,7.47,10.9,329.1,QB,New Mexico State
Michael Penix Jr.,2018,2023,48,1685,618,63.3,13741,96,34,5.7,2,146.6,8.2,8.39,12.9,286.3,QB,"Indiana,Washington"
Zac Dysert,2009,2012,46,1672,606,63.8,12013,73,51,4.4,3.1,132.4,7.2,6.69,11.3,261.2,QB,Miami (OH)
Luke McCown,2000,2003,43,1775,712,59.9,12666,87,62,4.9,3.5,129,7.1,6.54,11.9,294.6,QB,Louisiana Tech
Brent Stockstill,2014,2018,45,1610,555,65.5,12495,106,35,6.6,2.2,148.1,7.8,8.1,11.8,277.7,QB,Middle Tennessee State
Shane Carden,2012,2014,39,1579,527,66.6,11991,86,30,5.4,1.9,144.6,7.6,7.83,11.4,307.5,QB,East Carolina
Kenny Pickett,2017,2021,52,1674,629,62.4,12303,81,32,4.8,1.9,136.3,7.3,7.46,11.8,236.6,QB,Pitt
Connor Bazelak,2019,2024,53,1657,616,62.8,11120,58,38,3.5,2.3,126.2,6.7,6.38,10.7,209.8,QB,"Bowling Green,Indiana,Missouri"
Mason Fine,2016,2019,49,1655,616,62.8,12505,93,34,5.6,2.1,140.7,7.6,7.76,12,255.2,QB,North Texas
Brett Rypien,2015,2018,50,1619,583,64,13581,90,29,5.6,1.8,149.2,8.4,8.69,13.1,271.6,QB,Boise State
Seth Henigan,2021,2024,45,1619,584,63.9,12842,91,29,5.6,1.8,145.5,7.9,8.25,12.4,285.4,QB,Memphis
Keith Wenning,2010,2013,49,1642,607,63,11402,92,42,5.6,2.6,134.7,6.9,6.91,11,232.7,QB,Ball State
Frank Harris,2019,2023,54,1547,513,66.8,11862,92,31,5.9,2,146.9,7.7,7.96,11.5,219.7,QB,UTSA
Baker Mayfield,2013,2017,48,1497,471,68.5,14607,131,30,8.8,2,175.4,9.8,10.61,14.2,304.3,QB,"Oklahoma,Texas Tech"
Brandon Doughty,2011,2015,43,1491,468,68.6,12855,111,34,7.4,2.3,161,8.6,9.08,12.6,299,QB,Western Kentucky
Cooper Rush,2013,2016,50,1648,626,62,12894,90,55,5.5,3.3,139.1,7.8,7.41,12.6,257.9,QB,Central Michigan
Connor Halliday,2011,2014,35,1634,620,62.1,11308,90,50,5.5,3.1,132.2,6.9,6.65,11.2,323.1,QB,Washington State
Tim Hiller,2005,2009,44,1608,595,63,11329,99,41,6.2,2.5,137.4,7,7.13,11.2,257.5,QB,Western Michigan
Matt Barkley,2009,2012,47,1562,561,64.1,12327,116,48,7.4,3.1,148.7,7.9,7.99,12.3,262.3,QB,USC
Jarret Doege,2017,2022,53,1552,556,64.2,11069,84,37,5.4,2.4,137.2,7.1,7.14,11.1,208.8,QB,"Bowling Green,Troy,West Virginia"
Brock Purdy,2018,2021,48,1467,474,67.7,12170,81,33,5.5,2.2,151.1,8.3,8.39,12.3,253.5,QB,Iowa State
Clayton Thorson,2015,2018,53,1696,705,58.4,10731,61,45,3.6,2.7,118.1,6.3,5.85,10.8,202.5,QB,Northwestern
Kedon Slovis,2019,2023,46,1534,545,64.5,11689,80,39,5.2,2.5,140.6,7.6,7.52,11.8,254.1,QB,"BYU,Pitt,USC"
Geno Smith,2009,2012,44,1465,477,67.4,11662,98,21,6.7,1.4,153.5,8,8.65,11.8,265,QB,West Virginia
Curtis Painter,2005,2008,46,1648,661,59.9,11163,67,46,4.1,2.8,124.6,6.8,6.33,11.3,242.7,QB,Purdue
Jared Goff,2013,2015,37,1569,592,62.3,12200,96,30,6.1,1.9,144,7.8,8.14,12.5,329.7,QB,California
Chevan Cordeiro,2018,2023,61,1624,653,59.8,12191,88,32,5.4,2,136.8,7.5,7.7,12.6,199.9,QB,"Hawaii,San Jose State"
Brandon Silvers,2014,2017,48,1504,535,64.4,10684,71,29,4.7,1.9,135.8,7.1,7.18,11,222.6,QB,Troy
Tyler Sheehan,2006,2009,42,1494,528,64.7,10117,70,31,4.7,2.1,132.9,6.8,6.78,10.5,240.9,QB,Bowling Green
Taulia Tagovailoa,2019,2023,46,1436,472,67.1,11356,77,37,5.4,2.6,146.1,7.9,7.82,11.8,246.9,QB,"Alabama,Maryland"
Kevin Kolb,2003,2006,50,1565,601,61.6,12964,85,31,5.4,2,145.1,8.3,8.48,13.4,259.3,QB,Houston
Ryan Lindley,2008,2011,49,1732,771,55.5,12690,90,47,5.2,2.7,128.8,7.3,7.14,13.2,259,QB,San Diego State
Jake Browning,2015,2018,53,1483,525,64.6,12296,94,34,6.3,2.3,150.6,8.3,8.53,12.8,232,QB,Washington
Alan Bowman,2018,2024,48,1500,544,63.7,10886,63,42,4.2,2.8,133,7.3,6.84,11.4,226.8,QB,"Michigan,Oklahoma State,Texas Tech"
Clayton Tune,2018,2022,47,1498,542,63.8,11996,104,41,6.9,2.7,148.5,8,8.16,12.5,255.2,QB,Houston
Jayden Daniels,2019,2023,55,1438,485,66.3,12749,89,20,6.2,1.4,158.4,8.9,9.48,13.4,231.8,QB,"Arizona State,LSU"
Shane Buechele,2016,2020,46,1508,556,63.1,11660,87,32,5.8,2.1,142.9,7.7,7.93,12.2,253.5,QB,"SMU,Texas"
Kolton Browning,2010,2013,46,1577,626,60.3,10263,81,38,5.1,2.4,127.1,6.5,6.45,10.8,223.1,QB,Louisiana-Monroe
Ryan Finley,2014,2018,47,1462,523,64.2,11147,63,30,4.3,2.1,138.4,7.6,7.56,11.9,237.2,QB,"Boise State,North Carolina State"
Nick Foles,2007,2011,36,1404,466,66.8,10068,67,33,4.8,2.4,138.1,7.2,7.07,10.7,279.7,QB,"Arizona,Michigan State"
Austin Davis,2008,2011,47,1527,594,61.1,10892,83,27,5.4,1.8,135.4,7.1,7.42,11.7,231.7,QB,Southern Mississippi
Todd Reesing,2006,2009,41,1461,529,63.8,11194,90,33,6.2,2.3,144,7.7,7.88,12,273,QB,Kansas
Byron Leftwich,1999,2002,48,1429,497,65.2,11818,89,26,6.2,1.8,151.6,8.3,8.7,12.7,246.2,QB,Marshall
Brady Quinn,2003,2006,49,1602,673,58,11762,95,39,5.9,2.4,134.4,7.3,7.43,12.7,240,QB,Notre Dame
Nick Mullens,2013,2016,44,1546,618,60,11994,87,46,5.6,3,137.8,7.8,7.54,12.9,272.6,QB,Southern Mississippi
Sam Ehlinger,2017,2020,46,1476,553,62.5,11436,94,27,6.4,1.8,145,7.7,8.2,12.4,248.6,QB,Texas
Aaron Murray,2010,2013,52,1478,557,62.3,13166,121,41,8.2,2.8,158.6,8.9,9.3,14.3,253.2,QB,Georgia
Dan Orlovsky,2001,2004,46,1567,651,58.5,10706,84,51,5.4,3.3,127,6.8,6.44,11.7,232.7,QB,Connecticut
Jake Bentley,2016,2021,49,1429,514,64,10885,78,46,5.5,3.2,139.6,7.6,7.26,11.9,222.1,QB,"South Alabama,South Carolina,Utah"
Mason Rudolph,2014,2017,42,1447,532,63.2,13618,92,26,6.4,1.8,159.7,9.4,9.87,14.9,324.2,QB,Oklahoma State
Trevor Vittatoe,2007,2010,49,1641,727,55.7,12439,97,42,5.9,2.6,133.8,7.6,7.61,13.6,253.9,QB,UTEP
Brett Basanez,2002,2005,47,1584,671,57.6,10580,44,36,2.8,2.3,118.4,6.7,6.21,11.6,225.1,QB,Northwestern
Charlie Frye,2001,2004,46,1436,523,63.6,11049,64,32,4.5,2.2,138.5,7.7,7.58,12.1,240.2,QB,Akron
Tyler Rogers,2014,2017,39,1541,629,59.2,10372,69,56,4.5,3.6,123.2,6.7,5.99,11.4,265.9,QB,New Mexico State
Ryan Aplin,2009,2012,47,1410,501,64.5,10758,67,37,4.8,2.6,139,7.6,7.4,11.8,228.9,QB,Arkansas State
Adam Weber,2007,2010,50,1594,685,57,10917,72,51,4.5,3.2,123.1,6.8,6.31,12,218.3,QB,Minnesota
Zach Terrell,2013,2016,49,1387,479,65.5,12088,96,31,6.9,2.2,157,8.7,9.09,13.3,246.7,QB,Western Michigan
Garrett Gilbert,2009,2013,47,1548,640,58.7,9761,49,45,3.2,2.9,116.3,6.3,5.63,10.8,207.7,QB,"SMU,Texas"
Russell Wilson,2008,2011,50,1489,582,60.9,11720,109,30,7.3,2,147.2,7.9,8.43,12.9,234.4,QB,"North Carolina State,Wisconsin"
