Player,G,Team,Top_25
Jayden Daniels,26,LSU,1
Quinn Ewers,22,Texas,1
Jordan Travis,24,Florida State,1
Will Rogers,13,Mississippi State,1
Cade Klubnik,23,Clemson,1
Will Howard,19,Kansas State,1
Sam Hartman,26,"Notre Dame,Wake Forest",1
J.J. McCarthy,40,Michigan,1
Caleb Williams,25,"Oklahoma,USC",1
Cameron Rising,26,Utah,1
Kenny Pickett,13,Pitt,1
Alan Bowman,21,"Michigan,Oklahoma State",1
Clayton Tune,14,Houston,1
Devin Leary,12,North Carolina State,1
Cade McNamara,22,"Iowa,Michigan",1
Michael Penix Jr.,34,"Indiana,Washington",1
Bryce Young,35,Alabama,1
C.J. Stroud,27,Ohio State,1
D.J. Uiagalelei,36,Clemson,1
Spencer Sanders,31,"Oklahoma State,Ole Miss",1
Levi Lewis,25,Louisiana,1
Kedon Slovis,17,"Pitt,USC",1
Carson Beck,26,Georgia,1
Bo Nix,40,"Auburn,Oregon",1
Spencer Rattler,36,"Oklahoma,South Carolina",1
Stetson Bennett,42,Georgia,1
Dillon Gabriel,25,"Oklahoma,UCF",1
Charlie Brewer,17,"Baylor,Utah",1
Justin Herbert,14,Oregon,1
Desmond Ridder,50,Cincinnati,1
Sam Ehlinger,37,Texas,1
Trevor Lawrence,40,Clemson,1
Kyle Trask,28,Florida,1
Nathan Stanley,26,Iowa,1
Gardner Minshew,13,Washington State,1
Kellen Mond,23,Texas A&M,1
Shea Patterson,26,Michigan,1
Justin Fields,34,"Georgia,Ohio State",1
Sean Clifford,29,Penn State,1
Mac Jones,39,Alabama,1
Spencer Petras,25,Iowa,1
Marcus McMaryion,14,Fresno State,1
Joe Milton,29,"Michigan,Tennessee",1
Ian Book,47,Notre Dame,1
Jake Fromm,43,Georgia,1
Brett Rypien,26,Boise State,1
Jack Coan,33,"Notre Dame,Wisconsin",1
Tua Tagovailoa,33,Alabama,1
McKenzie Milton,23,UCF,1
Dwayne Haskins,22,Ohio State,1
Riley Ferguson,13,Memphis,1
Kyler Murray,21,Oklahoma,1
Jake Browning,41,Washington,1
Trace McSorley,40,Penn State,1
Jalen Hurts,56,"Alabama,Oklahoma",1
Joe Burrow,39,"LSU,Ohio State",1
Sam Darnold,27,USC,1
Quinton Flowers,25,South Florida,1
Danny Etling,24,LSU,1
Alex Hornibrook,27,Wisconsin,1
Mason Rudolph,39,Oklahoma State,1
Baker Mayfield,40,Oklahoma,1
Clayton Thorson,40,Northwestern,1
Joshua Dobbs,26,Tennessee,1
Brandon Doughty,14,Western Kentucky,1
Will Grier,17,"Florida,West Virginia",1
Jarrett Stidham,24,"Auburn,Baylor",1
Kelly Bryant,30,Clemson,1
Deshaun Watson,38,Clemson,1
J.T. Barrett,50,Ohio State,1
Trevone Boykin,24,Texas Christian,1
Travis Wilson,25,Utah,1
Ryan Finley,18,"Boise State,North Carolina State",1
Anu Solomon,14,Arizona,1
Connor Cook,40,Michigan State,1
Jameis Winston,27,Florida State,1
Cody Kessler,27,USC,1
Joel Stave,36,Wisconsin,1
Brett Hundley,26,UCLA,1
Taylor Kelly,24,Arizona State,1
Nick Marshall,26,Auburn,1
Chad Kelly,18,"Clemson,Ole Miss",1
Maty Mauk,24,Missouri,1
Kenny Hill,17,"Texas A&M,Texas Christian",1
Marcus Mariota,41,Oregon,1
Johnny Manziel,26,Texas A&M,1
Teddy Bridgewater,26,Louisville,1
Kevin Hogan,38,Stanford,1
Everett Golson,21,"Florida State,Notre Dame",1
David Fales,13,San Jose State,1
Jake Coker,31,"Alabama,Florida State",1
Braxton Miller,25,Ohio State,1
Chuckie Keeton,13,Utah State,1
Tajh Boyd,40,Clemson,1
Bryce Petty,31,Baylor,1
Aaron Murray,28,Georgia,1
Case Keenum,14,Houston,1
Zach Mettenberger,30,LSU,1
Collin Klein,26,Kansas State,1
Grant Hedrick,31,Boise State,1
Robert Griffin III,13,Baylor,1
Austin Davis,14,Southern Mississippi,1
Cole Stoudt,35,Clemson,1
Blake Sims,37,Alabama,1
Landry Jones,40,Oklahoma,1
A.J. McCarron,53,Alabama,1
Andrew Luck,26,Stanford,1
Russell Wilson,27,"North Carolina State,Wisconsin",1
E.J. Manuel,36,Florida State,1
Taylor Martinez,40,Nebraska,1
Connor Shaw,43,South Carolina,1
Tyler Wilson,19,Arkansas,1
Joe Southwick,29,Boise State,1
Stephen Garcia,19,South Carolina,1
G.J. Kinne,13,Tulsa,1
Matt Barkley,24,USC,1
Scott Tolzien,26,Wisconsin,1
Geno Smith,18,West Virginia,1
Jordan Jefferson,35,LSU,1
Dan Lefevour,14,Central Michigan,1
Kellen Moore,53,Boise State,1
Brandon Weeden,27,Oklahoma State,1
Andy Dalton,37,Texas Christian,1
Kirk Cousins,32,Michigan State,1
Terrelle Pryor,39,Ohio State,1
Darron Thomas,31,Oregon,1
Greg McElroy,33,Alabama,1
Christian Ponder,25,Florida State,1
Ricky Stanzi,24,Iowa,1
Jeremiah Masoli,24,Oregon,1
Blaine Gabbert,18,Missouri,1
Max Hall,39,BYU,1
Chase Daniel,28,Missouri,1
Sam Bradford,28,Oklahoma,1
Tyrod Taylor,50,Virginia Tech,1
Tony Pike,27,Cincinnati,1
Taylor Potts,27,Texas Tech,1
Colt Brennan,12,Hawaii,1
Ryan Mallett,24,"Arkansas,Michigan",1
Lyle Moevao,20,Oregon State,1
Todd Reesing,13,Kansas,1
Colt McCoy,53,Texas,1
Tim Tebow,55,Florida,1
Matthew Stafford,39,Georgia,1
Daryll Clark,33,Penn State,1
Jevan Snead,34,"Ole Miss,Texas",1
Mark Sanchez,27,USC,1
John Beck,12,BYU,1
Graham Harrell,32,Texas Tech,1
Brady Quinn,25,Notre Dame,1
Pat White,49,West Virginia,1
Jeff Ballard,23,Texas Christian,1
Cullen Harper,14,Clemson,1
Matt Ryan,43,Boston College,1
Erik Ainge,35,Tennessee,1
Chad Henne,35,Michigan,1
Brandon Cox,44,Auburn,1
John Stocco,36,Wisconsin,1
JaMarcus Russell,36,LSU,1
Brian Brohm,32,Louisville,1
Sonny Cumbie,12,Texas Tech,1
Sean Glennon,39,Virginia Tech,1
Cody Hodges,16,Texas Tech,1
Drew Weatherford,18,Florida State,1
Brian Johnson,23,Utah,1
Matt Leinart,39,USC,1
Chris Leak,39,Florida,1
John David Booty,38,USC,1
Charlie Whitehurst,24,Clemson,1
Vince Young,37,Texas,1
Troy Smith,43,Ohio State,1
Jared Zabransky,34,Boise State,1
Alex Smith,23,Utah,1
Ben Roethlisberger,14,Miami (OH),1
Josh Harris,14,Bowling Green,1
Eli Manning,13,Ole Miss,1
Ryan Dinwiddie,23,Boise State,1
Scott McBrien,27,Maryland,1
Byron Leftwich,12,Marshall,1
Carson Palmer,13,USC,1
Craig Krenzel,25,Ohio State,1
Matt Schaub,14,Virginia,1
Jason Campbell,26,Auburn,1
David Greene,51,Georgia,1
Jason White,37,Oklahoma,1
Chris Rix,43,Florida State,1
Casey Clausen,25,Tennessee,1
Jason Gesser,24,Washington State,1
Bryan Randall,35,Virginia Tech,1
John Navarre,46,Michigan,1
Ken Dorsey,35,Miami (FL),1
Chris Simms,35,Texas,1
George Godsey,23,Georgia Tech,1
Brock Berlin,37,"Florida,Miami (FL)",1
Nate Hybl,30,Oklahoma,1
Rex Grossman,22,Florida,1
Joey Harrington,22,Oregon,1
Phil Petty,22,South Carolina,1
Drew Brees,11,Purdue,1
Josh Heupel,12,Oklahoma,1
Jack Plummer,14,Louisville,1
Brady Cook,13,Missouri,1
Noah Fifita,12,Arizona,1
Jaxson Dart,13,Ole Miss,1
Preston Stone,12,SMU,1
Kaidon Salter,14,Liberty,1
Brennan Armstrong,12,North Carolina State,1
Jason Bean,12,Kansas,1
Deacon Hill,13,Iowa,1
Drew Allar,23,Penn State,1
Max Duggan,15,Texas Christian,1
Dorian Thompson-Robinson,13,UCLA,1
Hendon Hooker,11,Tennessee,1
Michael Pratt,13,Tulane,1
Gunnar Watson,13,Troy,1
Ben Gulbranson,10,Oregon State,1
Adrian Martinez,10,Kansas State,1
Kyle McCord,24,Ohio State,1
Logan Bonner,14,Utah State,1
Matt Corral,13,Ole Miss,1
Anthony Brown,14,Oregon,1
Payton Thorne,13,Michigan State,1
Jalen Milroe,25,Alabama,1
K.J. Jefferson,13,Arkansas,1
Jaren Hall,10,BYU,1
Lucas Johnson,13,San Diego State,1
Zach Wilson,12,BYU,1
Brock Purdy,12,Iowa State,1
Sam Howell,12,North Carolina,1
D'Eriq King,11,Miami (FL),1
Drew Pyne,17,Notre Dame,1
Grayson McCall,11,Coastal Carolina,1
Peyton Ramsey,9,Northwestern,1
Drew Plitt,8,Ball State,1
JT Daniels,10,Georgia,1
Brady White,14,Memphis,1
Will Levis,20,"Kentucky,Penn State",1
Zac Thomas,14,Appalachian State,1
Tanner Morgan,13,Minnesota,1
Gerry Bohanon,22,Baylor,1
Hank Bachmeier,8,Boise State,1
Jordan Love,13,Utah State,1
Jake Haener,14,"Fresno State,Washington",1
Feleipe Franks,17,Florida,1
Eric Dungey,13,Syracuse,1
Terry Wilson,13,Kentucky,1
Nick Starkel,13,"San Jose State,Texas A&M",1
Brian Lewerke,13,Michigan State,1
Josh Jackson,13,Virginia Tech,1
Malik Willis,17,"Auburn,Liberty",1
Nick Fitzgerald,12,Mississippi State,1
K.J. Costello,11,Stanford,1
Jerod Evans,14,Virginia Tech,1
Zach Terrell,14,Western Michigan,1
Brad Kaaya,13,Miami (FL),1
Skyler Howard,13,West Virginia,1
Deondre Francois,13,Florida State,1
Lamar Jackson,13,Louisville,1
Malik Rosier,19,Miami (FL),1
Tyler Huntley,18,Utah,1
Sefo Liufau,12,Colorado,1
Christian Chapman,14,San Diego State,1
Sean White,11,Auburn,1
Austin Appleby,9,Florida,1
Jake Rudock,13,Michigan,1
Greg Ward Jr.,14,Houston,1
C.J. Beathard,14,Iowa,1
Marquise Williams,14,North Carolina,1
Wilton Speight,19,Michigan,1
DeShone Kizer,13,Notre Dame,1
Brandon Wimbush,25,"Notre Dame,UCF",1
Vernon Adams,10,Oregon,1
Brandon Harris,16,LSU,1
Keller Chryst,23,Stanford,1
Treon Harris,12,Florida,1
Rakeem Cato,14,Marshall,1
Jake Waters,13,Kansas State,1
Paxton Lynch,13,Memphis,1
Dak Prescott,13,Mississippi State,1
Troy Williams,23,Utah,1
Bo Wallace,13,Ole Miss,1
Blake Bortles,13,UCF,1
Keith Price,12,Washington,1
Anthony Boone,11,Duke,1
Seth Russell,22,Baylor,1
J.W. Walsh,21,Oklahoma State,1
Cardale Jones,23,Ohio State,1
Sean Maguire,21,Florida State,1
Will Gardner,13,Louisville,1
Bart Houston,25,Wisconsin,1
Tommy Rees,25,Notre Dame,1
Jordan Lynch,14,Northern Illinois,1
David Ash,12,Texas,1
Austyn Carta-Samuels,16,Vanderbilt,1
Sean Mannion,10,Oregon State,1
Jordan Rodgers,12,Vanderbilt,1
Jeff Driskel,12,Florida,1
Trevor Siemian,13,Northwestern,1
Denard Robinson,24,Michigan,1
Hutson Mason,17,Georgia,1
Blake Bell,31,Oklahoma,1
Dylan Thompson,23,South Carolina,1
Logan Thomas,21,Virginia Tech,1
Casey Pachall,21,Texas Christian,1
Colin Kaepernick,14,Nevada,1
James Franklin,20,Missouri,1
Clint Chelf,22,Oklahoma State,1
Danny O'Brien,13,Maryland,1
Jeff Godfrey,14,UCF,1
Jerrod Johnson,7,Texas A&M,1
Ryan Tannehill,13,Texas A&M,1
Chris Relf,13,Mississippi State,1
Josh Nunes,14,Stanford,1
Jacory Harris,13,Miami (FL),1
Bill Stull,13,Pitt,1
Kyle Parker,14,Clemson,1
Zac Lee,19,Nebraska,1
Jarrett Lee,32,LSU,1
Terrance Cain,12,Utah,1
Zach Collaros,30,Cincinnati,1
Zac Robinson,13,Oklahoma State,1
Brian Hoyer,13,Michigan State,1
Josh Nesbitt,25,Georgia Tech,1
Rudy Carpenter,13,Arizona State,1
Cam Newton,20,"Auburn,Florida",1
Juice Williams,13,Illinois,1
Jarrett Brown,38,West Virginia,1
Ben Mauk,13,"Cincinnati,Wake Forest",1
Sean Canfield,25,Oregon State,1
Matt Moore,14,Oregon State,1
Riley Skinner,14,Wake Forest,1
Mike Teel,13,Rutgers,1
Todd Boeckman,28,Ohio State,1
Drew Olson,12,UCLA,1
Dennis Dixon,22,Oregon,1
Zac Taylor,12,Nebraska,1
Nate Longshore,14,California,1
Anthony Morelli,19,Penn State,1
John Parker Wilson,19,Alabama,1
Kellen Clemens,8,Oregon,1
Marcus Vick,13,Virginia Tech,1
Rhett Bomar,12,Oklahoma,1
Joe Ayoob,20,California,1
Matt Flynn,41,LSU,1
Andrew Walter,11,Arizona State,1
Tyler Donovan,28,Wisconsin,1
Paul Peterson,11,Boston College,1
Aaron Rodgers,12,California,1
Kyle Wright,14,Miami (FL),1
Paul Pinegar,12,Fresno State,1
Kyle Orton,13,Purdue,1
Drew Tate,18,Iowa,1
Asad Abdul-Khaliq,13,Minnesota,1
Justin Zwick,25,Ohio State,1
Wyatt Sexton,15,Florida State,1
Brandon Hassell,10,Texas Christian,1
Brodie Croyle,24,Alabama,1
Philip Rivers,14,North Carolina State,1
Paul Thompson,42,Oklahoma,1
D.J. Shockley,38,Georgia,1
Tyler Palko,18,Pitt,1
Rod Rutherford,13,Pitt,1
Zack Mills,13,Penn State,1
Tye Gunn,15,Texas Christian,1
Marques Hagans,26,Virginia,1
Nathan Chandler,18,Iowa,1
Michael Robinson,25,Penn State,1
Brad Banks,13,Iowa,1
Rasheed Marshall,13,West Virginia,1
Carlyle Holiday,12,Notre Dame,1
Matt Kegel,31,Washington State,1
Brandon Doman,13,BYU,1
Matt Mauck,17,LSU,1
Dave Ragone,12,Louisville,1
Kurt Kittner,11,Illinois,1
Tavares Bolden,10,Toledo,1
Shaun Hill,11,Maryland,1
Stefan Lefors,24,Louisville,1
Brian St. Pierre,11,Boston College,1
Quinton Porter,14,Boston College,1
Robert Hodge,22,Colorado,1
Marcus Randall,21,LSU,1
Craig Ochs,9,Colorado,1
Chris Weinke,12,Florida State,1
Rohan Davey,16,LSU,1
Ell Roberson,31,Kansas State,1
Matt Newton,11,Colorado State,1
Ben Leard,12,Auburn,1
Major Applewhite,19,Texas,1
Eric Crouch,23,Nebraska,1
Sage Rosenfels,11,Iowa State,1
Cody Pickett,12,Washington,1
Marques Tuiasosopo,11,Washington,1
Grant Noel,19,Virginia Tech,1
Jonathan Beasley,13,Kansas State,1
Jonathan Smith,11,Oregon State,1
Josh Booty,10,LSU,1
Wayne Madkin,11,Mississippi State,1
Drew Henson,8,Michigan,1
Woodrow Dantzler,11,Clemson,1
Gary Godsey,5,Notre Dame,1
Marcus Outzen,9,Florida State,1
Dave Meyer,8,Virginia Tech,1
Willie Simmons,8,Clemson,1
Jim Sorgi,5,Wisconsin,1
Matt LoVecchio,8,Notre Dame,1
Michael Vick,10,Virginia Tech,1
Quincy Carter,7,Georgia,1
Brooks Bollinger,11,Wisconsin,1
Casey Printers,11,Texas Christian,1
Jesse Palmer,10,Florida,1
Andy Hall,9,Georgia Tech,1
Taylor Barton,5,Washington,1
Charlie Peterson,9,BYU,1
Troy Nunes,8,Syracuse,1
R.J. Anderson,12,Syracuse,1
Bobby Pesavento,9,Colorado,1
Randy Fasani,8,Stanford,1
Chris Lewis,8,Stanford,1
Marc Dunn,10,Kansas State,1
