YEAR,STATE,RATE,DEATHS,FULL_NAME
2021,AL,26.4,1315,Alabama
2021,AK,25.2,182,Alaska
2021,AZ,18.3,1365,Arizona
2021,AR,23.3,698,Arkansas
2021,CA,9,3576,California
2021,CO,17.8,1064,Colorado
2021,CT,6.7,248,Connecticut
2021,DE,16.6,158,Delaware
2021,FL,14.1,3142,Florida
2021,GA,20.3,2200,Georgia
2021,HI,4.8,71,Hawaii
2021,ID,16.3,309,Idaho
2021,IL,16.1,1995,Illinois
2021,IN,18.4,1251,Indiana
2021,IA,11.2,364,Iowa
2021,KS,17.3,503,Kansas
2021,KY,21.1,947,Kentucky
2021,LA,29.1,1314,Louisiana
2021,ME,12.6,178,Maine
2021,MD,15.2,915,Maryland
2021,MA,3.4,247,Massachusetts
2021,MI,15.4,1544,Michigan
2021,MN,10,573,Minnesota
2021,MS,33.9,962,Mississippi
2021,MO,23.2,1414,Missouri
2021,MT,25.1,280,Montana
2021,NE,10.3,200,Nebraska
2021,NV,19.8,633,Nevada
2021,NH,8.3,123,New Hampshire
2021,NJ,5.2,475,New Jersey
2021,NM,27.8,578,New Mexico
2021,NY,5.4,1078,New York
2021,NC,17.3,1839,North Carolina
2021,ND,16.8,128,North Dakota
2021,OH,16.5,1911,Ohio
2021,OK,21.2,836,Oklahoma
2021,OR,14.9,670,Oregon
2021,PA,14.8,1905,Pennsylvania
2021,RI,5.6,64,Rhode Island
2021,SC,22.4,1136,South Carolina
2021,SD,14.3,128,South Dakota
2021,TN,22.8,1569,Tennessee
2021,TX,15.6,4613,Texas
2021,UT,13.9,450,Utah
2021,VT,11.9,83,Vermont
2021,VA,14.3,1248,Virginia
2021,WA,11.2,896,Washington
2021,WV,17.3,319,West Virginia
2021,WI,13.5,793,Wisconsin
2021,WY,26.1,155,Wyoming
2020,AL,23.6,1141,Alabama
2020,AK,23.5,175,Alaska
2020,AZ,16.7,1265,Arizona
2020,AR,22.6,673,Arkansas
2020,CA,8.5,3449,California
2020,CO,15.4,922,Colorado
2020,CT,6,219,Connecticut
2020,DE,14.4,135,Delaware
2020,FL,13.7,3041,Florida
2020,GA,17.7,1897,Georgia
2020,HI,3.4,50,Hawaii
2020,ID,17.6,321,Idaho
2020,IL,14.1,1745,Illinois
2020,IN,17.3,1159,Indiana
2020,IA,11.2,351,Iowa
2020,KS,16.9,494,Kansas
2020,KY,20.1,902,Kentucky
2020,LA,26.3,1183,Louisiana
2020,ME,10.4,153,Maine
2020,MD,13.5,803,Maryland
2020,MA,3.7,268,Massachusetts
2020,MI,14.6,1454,Michigan
2020,MN,8.9,513,Minnesota
2020,MS,28.6,818,Mississippi
2020,MO,23.9,1426,Missouri
2020,MT,20.9,238,Montana
2020,NE,10.1,197,Nebraska
2020,NV,17,547,Nevada
