Year,Team,LT,QB,RB,RT,WR,Avg_AV
1999,ARI,5,,6,5,7,5.75
1999,ATL,7,8,5,7,9,7
1999,BAL,11,7,6,7,9,8.25
1999,BUF,8,14,6,7,10,7.75
1999,CAR,10,19,9,10,14,10.75
1999,CHI,6,4,6,6,10,7
1999,CIN,6,10,10,6,8,7.5
1999,CLE,4,8,7,6,8,6.25
1999,DAL,8,10,11,9,11,9.75
1999,DEN,5,10,9,7,9,7.5
1999,DET,7,7,5,6,12,7.5
1999,GNB,6,13,12,7,9,8.5
1999,IND,10,18,21,10,20,15.25
1999,JAX,16,12,7,13,15,12.75
1999,KAN,5,10,4,7,8,6
1999,MIA,7,7,5,7,9,7
1999,MIN,9,11,10,9,15,10.75
1999,NOR,9,4,5,7,6,6.75
1999,NWE,7,11,6,6,9,7
1999,NYG,7,6,7,7,9,7.5
1999,NYJ,6,7,14,4,12,9
1999,OAK,7,16,9,8,14,9.5
1999,PHI,5,,10,4,5,6
1999,PIT,8,6,9,6,7,7.5
1999,SDG,6,8,3,6,7,5.5
1999,SEA,10,10,11,7,9,9.25
1999,SFO,8,9,13,8,7,9
1999,STL,18,19,25,9,14,16.5
1999,TAM,6,6,10,5,8,7.25
1999,TEN,8,10,14,12,7,10.25
1999,WAS,10,16,13,10,13,11.5
2000,ARI,5,7,9,6,9,7.25
2000,ATL,6,7,9,4,7,6.5
2000,BAL,15,5,13,7,7,10.5
2000,BUF,6,8,6,5,11,7
2000,CAR,6,12,8,8,12,8.5
2000,CHI,5,5,7,5,5,5.5
2000,CIN,4,,8,5,6,5.75
2000,CLE,5,4,4,5,5,4.75
2000,DAL,8,4,10,8,10,9
2000,DEN,11,12,14,11,18,13.5
2000,DET,5,9,10,5,8,7
2000,GNB,6,13,14,8,10,9.5
2000,IND,12,17,20,12,15,14.75
2000,JAX,11,15,13,5,12,10.25
2000,KAN,8,15,9,9,13,9.75
2000,MIA,7,11,10,8,9,8.5
2000,MIN,11,20,17,14,17,14.75
2000,NOR,14,9,11,16,14,13.75
2000,NWE,8,11,8,4,10,7.5
2000,NYG,10,13,15,10,12,11.75
2000,NYJ,7,9,11,7,8,8.25
2000,OAK,7,20,11,14,15,11.75
2000,PHI,9,15,5,9,7,7.5
2000,PIT,9,10,10,5,8,8
2000,SDG,6,4,5,6,7,6
