Player,nflc_AV,nflc_seasons_ttl,nflc_AV_per_season,nflc_AV_p_game
Kevin Hogan,2,5,0.40,2.00
Stephen McGee,2,1,2.00,2.00
Jarrett Stidham,6,5,1.20,1.50
Danny Kanell,6,4,1.50,1.50
Quinn Gray,6,3,2.00,1.50
Joe Webb,4,2,2.00,1.33
Neil O'Donnell,10,4,2.50,1.25
Chase Daniel,6,12,0.50,1.20
Billy Volek,12,10,1.20,1.20
Sage Rosenfels,14,8,1.75,1.17
Matt Flynn,8,6,1.33,1.14
Lamar Jackson,93,6,15.50,1.07
Peyton Manning,260,16,16.25,1.04
Patrick Mahomes,109,7,15.57,1.04
Trent Green,100,8,12.50,1.01
A.J. McCarron,4,8,0.50,1.00
Koy Detmer,3,7,0.43,1.00
Jamie Martin,7,7,1.00,1.00
Rich Gannon,74,5,14.80,1.00
Trace McSorley,1,3,0.33,1.00
Garrett Gilbert,2,3,0.67,1.00
Trey Lance,4,3,1.33,1.00
Easton Stick,4,3,1.33,1.00
Rusty Smith,1,2,0.50,1.00
Randall Cunningham,11,2,5.50,1.00
Warren Moon,1,1,1.00,1.00
Davis Webb,1,1,1.00,1.00
Eric Zeier,1,1,1.00,1.00
Jake Browning,7,1,7.00,1.00
Aaron Rodgers,231,19,12.16,0.99
Daunte Culpepper,98,10,9.80,0.98
Tom Brady,326,22,14.82,0.98
Kurt Warner,113,10,11.30,0.97
Michael Vick,112,14,8.00,0.97
Steve Beuerlein,36,4,9.00,0.97
Cam Newton,140,10,14.00,0.97
Drew Brees,277,19,14.58,0.97
Jalen Hurts,59,4,14.75,0.97
Jeff George,16,2,8.00,0.94
Russell Wilson,179,12,14.92,0.94
Andrew Luck,80,6,13.33,0.93
Doug Flutie,39,6,6.50,0.93
David Garrard,70,8,8.75,0.92
Tyrod Taylor,53,13,4.08,0.91
Philip Rivers,218,16,13.63,0.91
Tony Romo,115,12,9.58,0.91
Robert Griffin III,38,8,4.75,0.90
Matt Ryan,210,14,15.00,0.90
Jeff Garcia,104,10,10.40,0.90
Josh Allen,92,6,15.33,0.89
Josh Johnson,8,15,0.53,0.89
Dak Prescott,107,8,13.38,0.88
Deshaun Watson,63,7,9.00,0.88
Donovan McNabb,138,12,11.50,0.86
Todd Bouman,6,9,0.67,0.86
Nick Mullens,17,6,2.83,0.85
Matt Schaub,79,16,4.94,0.85
Colin Kaepernick,49,5,9.80,0.84
Ben Roethlisberger,208,17,12.24,0.84
Chris Redman,10,11,0.91,0.83
Tyler Thigpen,10,5,2.00,0.83
Kyler Murray,62,5,12.40,0.83
Jimmy Garoppolo,52,9,5.78,0.83
Marcus Mariota,61,9,6.78,0.82
Jameis Winston,67,9,7.44,0.82
Teddy Bridgewater,53,9,5.89,0.82
Aaron Brooks,73,6,12.17,0.81
Luke McCown,8,11,0.73,0.80
Brad Smith,4,6,0.67,0.80
Ray Lucas,12,3,4.00,0.80
Landry Jones,4,2,2.00,0.80
Brock Purdy,24,2,12.00,0.80
Justin Fields,35,3,11.67,0.80
Shaun King,19,5,3.80,0.79
Justin Herbert,56,4,14.00,0.79
Brett Favre,148,11,13.45,0.78
Matthew Stafford,168,15,11.20,0.78
Carson Palmer,141,13,10.85,0.78
Charlie Whitehurst,7,10,0.70,0.78
Chad Pennington,62,10,6.20,0.77
Steve McNair,88,8,11.00,0.77
Kordell Stewart,39,6,6.50,0.76
Joe Burrow,47,4,11.75,0.76
Ryan Tannehill,114,11,10.36,0.75
Jared Goff,95,8,11.88,0.75
J.T. O'Sullivan,6,5,1.20,0.75
Scott Tolzien,3,4,0.75,0.75
Brett Rypien,3,3,1.00,0.75
