Year,No.,Round,Pick,Player,Name,Team,College
2024,1,1,1,1,Caleb Williams,Bears,USC
2024,2,1,2,2,Jayden Daniels,Commanders,Louisiana State
2024,3,1,3,3,Drake Maye,Patriots,North Carolina
2024,4,1,8,8,Michael Penix,Falcons,Washington
2024,5,1,10,10,J.J. McCarthy,Vikings,Michigan
2024,6,1,12,12,Bo Nix,Broncos,Oregon
2023,1,1,1,1,Bryce Young,Panthers,Alabama
2023,2,1,2,2,C.J. Stroud,Texans,Ohio State
2023,3,1,4,4,Anthony Richardson,Colts,Florida
2022,1,1,20,20,Kenny Pickett,Steelers,Pittsburgh
2021,1,1,1,1,Trevor Lawrence,Jaguars,Clemson
2021,2,1,2,2,Zach Wilson,Jets,Brigham Young
2021,3,1,3,3,Trey Lance,49ers,North Dakota State
2021,4,1,11,11,Justin Fields,Bears,Ohio State
2021,5,1,15,15,Mac Jones,Patriots,Alabama
2020,1,1,1,1,Joe Burrow,Bengals,Louisiana State
2020,2,1,5,5,Tua Tagovailoa,Dolphins,Alabama
2020,3,1,6,6,Justin Herbert,Chargers,Oregon
2020,4,1,26,26,Jordan Love,Packers,Utah State
2019,1,1,1,1,Kyler Murray,Cardinals,Oklahoma
2019,2,1,6,6,Daniel Jones,Giants,Duke
2019,3,1,15,15,Dwayne Haskins,Redskins,Ohio State
2018,1,1,1,1,Baker Mayfield,Browns,Oklahoma
2018,2,1,3,3,Sam Darnold,Jets,USC
2018,3,1,7,7,Josh Allen,Bills,Wyoming
2018,4,1,10,10,Josh Rosen,Cardinals,UCLA
2018,5,1,32,32,Lamar Jackson,Ravens,Louisville
2017,1,1,2,2,Mitchell Trubisky,Bears,North Carolina
2017,2,1,10,10,Patrick Mahomes,Chiefs,Texas Tech
2017,3,1,12,12,Deshaun Watson,Texans,Clemson
2016,1,1,1,1,Jared Goff,Rams,California
2016,2,1,2,2,Carson Wentz,Eagles,North Dakota State
2016,3,1,26,26,Paxton Lynch,Broncos,Memphis
2015,1,1,1,1,Jameis Winston,Buccaneers,Florida State
2015,2,1,2,2,Marcus Mariota,Titans,Oregon
2014,1,1,3,3,Blake Bortles,Jaguars,Central Florida
2014,2,1,22,22,Johnny Manziel,Browns,Texas A&M
2014,3,1,32,32,Teddy Bridgewater,Vikings,Louisville
2013,1,1,16,16,EJ Manuel,Bills,Florida State
2012,1,1,1,1,Andrew Luck,Colts,Stanford
2012,2,1,2,2,Robert Griffin,Redskins,Baylor
2012,3,1,8,8,Ryan Tannehill,Dolphins,Texas A&M
2012,4,1,22,22,Brandon Weeden,Browns,Oklahoma State
2011,1,1,1,1,Cam Newton,Panthers,Auburn
2011,2,1,8,8,Jake Locker,Titans,Washington
2011,3,1,10,10,Blaine Gabbert,Jaguars,Missouri
2011,4,1,12,12,Christian Ponder,Vikings,Florida State
2010,1,1,1,1,Sam Bradford,Rams,Oklahoma
2010,2,1,25,25,Tim Tebow,Broncos,Florida
2009,1,1,1,1,Matthew Stafford,Lions,Georgia
2009,2,1,5,5,Mark Sanchez,Jets,USC
2009,3,1,17,17,Josh Freeman,Buccaneers,Kansas State
2008,1,1,3,3,Matt Ryan,Falcons,Boston College
2008,2,1,18,18,Joe Flacco,Ravens,Delaware
2007,1,1,1,1,JaMarcus Russell,Raiders,Louisiana State
2007,2,1,22,22,Brady Quinn,Browns,Notre Dame
2006,1,1,3,3,Vince Young,Titans,Texas
2006,2,1,10,10,Matt Leinart,Cardinals,USC
2006,3,1,11,11,Jay Cutler,Broncos,Vanderbilt
2005,1,1,1,1,Alex Smith,49ers,Utah
2005,2,1,24,24,Aaron Rodgers,Packers,California
2005,3,1,25,25,Jason Campbell,Redskins,Auburn
2004,1,1,1,1,Eli Manning,Chargers,Mississippi
2004,2,1,4,4,Philip Rivers,Giants,North Carolina State
2004,3,1,11,11,Ben Roethlisberger,Steelers,Miami (OH)
2004,4,1,22,22,J.P. Losman,Bills,Tulane
2003,1,1,1,1,Carson Palmer,Bengals,USC
2003,2,1,7,7,Byron Leftwich,Jaguars,Marshall
2003,3,1,19,19,Kyle Boller,Ravens,California
2003,4,1,22,22,Rex Grossman,Bears,Florida
2002,1,1,1,1,David Carr,Texans,Fresno State
2002,2,1,3,3,Joey Harrington,Lions,Oregon
2002,3,1,32,32,Patrick Ramsey,Redskins,Tulane
2001,1,1,1,1,Michael Vick,Falcons,Virginia Tech
2000,1,1,18,18,Chad Pennington,Jets,Marshall
