Season,Team,G,W,L,T,W_L_Per,Pts,PtsO,PtDif
2007,NWE,16,16,0,0,1,589,274,315
2015,CAR,16,15,1,0,0.938,500,308,192
2011,GNB,16,15,1,0,0.938,560,359,201
2004,PIT,16,15,1,0,0.938,372,251,121
2022,PHI,17,14,3,0,0.824,477,344,133
2022,KAN,17,14,3,0,0.824,496,369,127
2020,KAN,16,14,2,0,0.875,473,362,111
2019,BAL,16,14,2,0,0.875,531,282,249
2016,NWE,16,14,2,0,0.875,441,250,191
2010,NWE,16,14,2,0,0.875,518,313,205
2009,IND,16,14,2,0,0.875,416,307,109
2006,SDG,16,14,2,0,0.875,492,303,189
2005,IND,16,14,2,0,0.875,439,247,192
2004,NWE,16,14,2,0,0.875,437,260,177
2003,NWE,16,14,2,0,0.875,348,238,110
2001,STL,16,14,2,0,0.875,503,273,230
1999,JAX,16,14,2,0,0.875,396,217,179
2023,BAL,17,13,4,0,0.765,483,280,203
2022,SFO,17,13,4,0,0.765,450,277,173
2022,MIN,17,13,4,0,0.765,424,427,-3
2022,BUF,16,13,3,0,0.813,455,286,169
2021,GNB,17,13,4,0,0.765,450,371,79
2021,TAM,17,13,4,0,0.765,511,353,158
2020,BUF,16,13,3,0,0.813,501,375,126
2020,GNB,16,13,3,0,0.813,509,369,140
2019,GNB,16,13,3,0,0.813,376,313,63
2019,NOR,16,13,3,0,0.813,458,341,117
2019,SFO,16,13,3,0,0.813,479,310,169
2018,NOR,16,13,3,0,0.813,504,353,151
2018,LAR,16,13,3,0,0.813,527,384,143
2017,MIN,16,13,3,0,0.813,382,252,130
2017,NWE,16,13,3,0,0.813,458,296,162
2017,PHI,16,13,3,0,0.813,457,295,162
2017,PIT,16,13,3,0,0.813,406,308,98
2016,DAL,16,13,3,0,0.813,421,306,115
2015,ARI,16,13,3,0,0.813,489,313,176
2013,SEA,16,13,3,0,0.813,417,231,186
2013,DEN,16,13,3,0,0.813,606,399,207
2012,DEN,16,13,3,0,0.813,481,289,192
2012,ATL,16,13,3,0,0.813,419,299,120
2011,SFO,16,13,3,0,0.813,380,229,151
2011,NWE,16,13,3,0,0.813,513,342,171
2011,NOR,16,13,3,0,0.813,547,339,208
2010,ATL,16,13,3,0,0.813,414,288,126
2009,SDG,16,13,3,0,0.813,454,320,134
2009,NOR,16,13,3,0,0.813,510,341,169
2008,TEN,16,13,3,0,0.813,375,234,141
2007,GNB,16,13,3,0,0.813,435,291,144
2007,DAL,16,13,3,0,0.813,455,325,130
2007,IND,16,13,3,0,0.813,450,262,188
2006,CHI,16,13,3,0,0.813,427,255,172
2006,BAL,16,13,3,0,0.813,353,201,152
2005,SEA,16,13,3,0,0.813,452,271,181
2005,DEN,16,13,3,0,0.813,395,258,137
2004,PHI,16,13,3,0,0.813,386,260,126
2003,KAN,16,13,3,0,0.813,484,332,152
2001,CHI,16,13,3,0,0.813,338,203,135
2001,PIT,16,13,3,0,0.813,352,212,140
2000,TEN,16,13,3,0,0.813,346,191,155
1999,IND,16,13,3,0,0.813,423,333,90
1999,TEN,16,13,3,0,0.813,392,324,68
1999,STL,16,13,3,0,0.813,526,242,284
2023,SFO,17,12,5,0,0.706,491,298,193
2023,DET,17,12,5,0,0.706,461,395,66
2023,DAL,17,12,5,0,0.706,509,315,194
2022,DAL,17,12,5,0,0.706,467,342,125
2022,CIN,16,12,4,0,0.75,418,322,96
2021,KAN,17,12,5,0,0.706,480,364,116
2021,DAL,17,12,5,0,0.706,530,358,172
2021,TEN,17,12,5,0,0.706,419,354,65
2021,LAR,17,12,5,0,0.706,460,372,88
2020,NOR,16,12,4,0,0.75,482,337,145
2020,PIT,16,12,4,0,0.75,416,312,104
2020,SEA,16,12,4,0,0.75,459,371,88
2019,KAN,16,12,4,0,0.75,451,308,143
2019,NWE,16,12,4,0,0.75,420,225,195
2018,CHI,16,12,4,0,0.75,421,283,138
2018,KAN,16,12,4,0,0.75,565,421,144
2018,LAC,16,12,4,0,0.75,428,329,99
2016,KAN,16,12,4,0,0.75,389,311,78
2016,OAK,16,12,4,0,0.75,416,385,31
2015,NWE,16,12,4,0,0.75,465,315,150
2015,DEN,16,12,4,0,0.75,355,296,59
2015,CIN,16,12,4,0,0.75,419,279,140
2014,SEA,16,12,4,0,0.75,394,254,140
2014,NWE,16,12,4,0,0.75,468,313,155
2014,GNB,16,12,4,0,0.75,486,348,138
2014,DEN,16,12,4,0,0.75,482,354,128
2014,DAL,16,12,4,0,0.75,467,352,115
2013,SFO,16,12,4,0,0.75,406,272,134
2013,NWE,16,12,4,0,0.75,444,338,106
2013,CAR,16,12,4,0,0.75,366,241,125
2012,NWE,16,12,4,0,0.75,557,331,226
2012,HOU,16,12,4,0,0.75,416,331,85
2011,BAL,16,12,4,0,0.75,378,266,112
2011,PIT,16,12,4,0,0.75,325,227,98
2010,BAL,16,12,4,0,0.75,357,270,87
2010,PIT,16,12,4,0,0.75,375,232,143
2009,MIN,16,12,4,0,0.75,470,312,158
2008,PIT,16,12,4,0,0.75,347,223,124
